sample_id,fasta,sig,bam,group,species,gtf,bam_filesize
SRR306757_GSM752614_mmu_br_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306757_GSM752614_mmu_br_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306757_GSM752614_mmu_br_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306757_GSM752614_mmu_br_F_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1941042386
SRR306758_GSM752615_mmu_br_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306758_GSM752615_mmu_br_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306758_GSM752615_mmu_br_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306758_GSM752615_mmu_br_M_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1058000685
SRR306759_GSM752615_mmu_br_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306759_GSM752615_mmu_br_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306759_GSM752615_mmu_br_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306759_GSM752615_mmu_br_M_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,509259602
SRR306760_GSM752615_mmu_br_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306760_GSM752615_mmu_br_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306760_GSM752615_mmu_br_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306760_GSM752615_mmu_br_M_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1135063723
SRR306761_GSM752615_mmu_br_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306761_GSM752615_mmu_br_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306761_GSM752615_mmu_br_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306761_GSM752615_mmu_br_M_1Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1105590297
SRR306762_GSM752616_mmu_br_M_2,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306762_GSM752616_mmu_br_M_2__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306762_GSM752616_mmu_br_M_2__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306762_GSM752616_mmu_br_M_2Aligned.sortedByCoord.out.bam,Brain,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1114595522
SRR306763_GSM752617_mmu_cb_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306763_GSM752617_mmu_cb_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306763_GSM752617_mmu_cb_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306763_GSM752617_mmu_cb_F_1Aligned.sortedByCoord.out.bam,Cerebellum,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,2782147431
SRR306764_GSM752618_mmu_cb_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306764_GSM752618_mmu_cb_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306764_GSM752618_mmu_cb_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306764_GSM752618_mmu_cb_M_1Aligned.sortedByCoord.out.bam,Cerebellum,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1163942658
SRR306765_GSM752619_mmu_cb_M_2,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306765_GSM752619_mmu_cb_M_2__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306765_GSM752619_mmu_cb_M_2__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306765_GSM752619_mmu_cb_M_2Aligned.sortedByCoord.out.bam,Cerebellum,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1892369631
SRR306766_GSM752620_mmu_ht_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306766_GSM752620_mmu_ht_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306766_GSM752620_mmu_ht_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306766_GSM752620_mmu_ht_F_1Aligned.sortedByCoord.out.bam,Heart,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,3099270265
SRR306767_GSM752621_mmu_ht_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306767_GSM752621_mmu_ht_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306767_GSM752621_mmu_ht_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306767_GSM752621_mmu_ht_M_1Aligned.sortedByCoord.out.bam,Heart,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1729587703
SRR306768_GSM752622_mmu_ht_M_2,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306768_GSM752622_mmu_ht_M_2__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306768_GSM752622_mmu_ht_M_2__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306768_GSM752622_mmu_ht_M_2Aligned.sortedByCoord.out.bam,Heart,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1709225495
SRR306769_GSM752623_mmu_kd_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306769_GSM752623_mmu_kd_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306769_GSM752623_mmu_kd_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306769_GSM752623_mmu_kd_F_1Aligned.sortedByCoord.out.bam,Kidney,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,2869605998
SRR306770_GSM752624_mmu_kd_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306770_GSM752624_mmu_kd_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306770_GSM752624_mmu_kd_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306770_GSM752624_mmu_kd_M_1Aligned.sortedByCoord.out.bam,Kidney,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1337603112
SRR306771_GSM752625_mmu_kd_M_2,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306771_GSM752625_mmu_kd_M_2__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306771_GSM752625_mmu_kd_M_2__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306771_GSM752625_mmu_kd_M_2Aligned.sortedByCoord.out.bam,Kidney,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,2008944036
SRR306772_GSM752626_mmu_lv_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306772_GSM752626_mmu_lv_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306772_GSM752626_mmu_lv_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306772_GSM752626_mmu_lv_F_1Aligned.sortedByCoord.out.bam,Liver,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,2888419104
SRR306773_GSM752627_mmu_lv_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306773_GSM752627_mmu_lv_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306773_GSM752627_mmu_lv_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306773_GSM752627_mmu_lv_M_1Aligned.sortedByCoord.out.bam,Liver,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1396084565
SRR306774_GSM752628_mmu_lv_M_2,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306774_GSM752628_mmu_lv_M_2__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306774_GSM752628_mmu_lv_M_2__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306774_GSM752628_mmu_lv_M_2Aligned.sortedByCoord.out.bam,Liver,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,2263215491
SRR306775_GSM752629_mmu_ts_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306775_GSM752629_mmu_ts_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306775_GSM752629_mmu_ts_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306775_GSM752629_mmu_ts_M_1Aligned.sortedByCoord.out.bam,Testis,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,1470417235
SRR306776_GSM752630_mmu_ts_M_2,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306776_GSM752630_mmu_ts_M_2__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306776_GSM752630_mmu_ts_M_2__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/mouse/single_end/STAR/SRR306776_GSM752630_mmu_ts_M_2Aligned.sortedByCoord.out.bam,Testis,Mouse,/home/olga/ibm_lg/czbiohub-reference/gencode/mouse/vM21/gencode.vM21.annotation.gtf,2083284380
SRR306777_GSM752631_mml_br_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306777_GSM752631_mml_br_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306777_GSM752631_mml_br_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/macaque/single_end/STAR/SRR306777_GSM752631_mml_br_F_1Aligned.sortedByCoord.out.bam,Brain,Macaque,/home/olga/ibm_lg/kmer-hashing/brawand2011/gtfs_with_orthology/Macaca_mulatta.Mmul_8.0.1.97.gtf,1129344381
SRR306778_GSM752632_mml_br_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306778_GSM752632_mml_br_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306778_GSM752632_mml_br_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/macaque/single_end/STAR/SRR306778_GSM752632_mml_br_M_1Aligned.sortedByCoord.out.bam,Brain,Macaque,/home/olga/ibm_lg/kmer-hashing/brawand2011/gtfs_with_orthology/Macaca_mulatta.Mmul_8.0.1.97.gtf,921325986
SRR306780_GSM752634_mml_cb_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306780_GSM752634_mml_cb_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306780_GSM752634_mml_cb_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/macaque/single_end/STAR/SRR306780_GSM752634_mml_cb_F_1Aligned.sortedByCoord.out.bam,Cerebellum,Macaque,/home/olga/ibm_lg/kmer-hashing/brawand2011/gtfs_with_orthology/Macaca_mulatta.Mmul_8.0.1.97.gtf,1496459725
SRR306781_GSM752635_mml_cb_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306781_GSM752635_mml_cb_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306781_GSM752635_mml_cb_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/macaque/single_end/STAR/SRR306781_GSM752635_mml_cb_M_1Aligned.sortedByCoord.out.bam,Cerebellum,Macaque,/home/olga/ibm_lg/kmer-hashing/brawand2011/gtfs_with_orthology/Macaca_mulatta.Mmul_8.0.1.97.gtf,1266497555
SRR306782_GSM752636_mml_ht_F_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306782_GSM752636_mml_ht_F_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306782_GSM752636_mml_ht_F_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/macaque/single_end/STAR/SRR306782_GSM752636_mml_ht_F_1Aligned.sortedByCoord.out.bam,Heart,Macaque,/home/olga/ibm_lg/kmer-hashing/brawand2011/gtfs_with_orthology/Macaca_mulatta.Mmul_8.0.1.97.gtf,2281635173
SRR306783_GSM752637_mml_ht_M_1,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_uniprot_opisthokonta/extract_coding/SRR306783_GSM752637_mml_ht_M_1__coding_reads_peptides.fasta,/home/olga/ibm_lg/kmer-hashing/brawand2011/kmermaid_existing_peptides_uniprot_opisthokonta/sketches_peptide/molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true/SRR306783_GSM752637_mml_ht_M_1__coding_reads_peptides_molecule-protein_ksize-27_log2sketchsize-14_trackabundance-true.sig,/home/olga/ibm_lg/kmer-hashing/brawand2011/nfcore-rnaseq/macaque/single_end/STAR/SRR306783_GSM752637_mml_ht_M_1Aligned.sortedByCoord.out.bam,Heart,Macaque,/home/olga/ibm_lg/kmer-hashing/brawand2011/gtfs_with_orthology/Macaca_mulatta.Mmul_8.0.1.97.gtf,1409361324
